pageid,title,cleaned_member
116988,The Sandmen,"['Michael Illo Rasmussen', 'Allan Vegenfeldt', 'Stefan Moulvad', 'Sam Mitchell']"
416089,Savage Affair,"['Alex Nyborg Madsen', 'Torben Aalykke', 'Lars Vilmar Jensen', 'Martin Schwerin', 'Carsten Neumann', 'Bo Brinck', 'Jens Peter Fjeder Stavnstrup']"
315272,Scatterbrain,"['Anders Brill', 'Jesper Siberg', 'Hilmer Hassig']"
974839,Secret Oyster,"['Mads Vinding', 'Kenneth Knudsen', 'Karsten Vogel', 'Assi Roar', 'Claus Bøhling', 'Ole Streenberg', 'Jess Stæhr', 'Daniel Fridell', 'Bo Thrige Andersen']"
646754,Shotgun Revolution,"['Ditlev Ulriksen', 'Martin Frank', 'Michael Venneberg', 'Kasper Lund', 'Henrik Berger']"
998645,Shubberne,"['Bosse Hall Christensen', 'Claus Asmussen', 'Willy Pedersen']"
398184,Sidste Ambulance,"['Bjarke Helmø', 'Thorbjørn Nyander Poulsen', 'Andreas Pallisgaard Hansen', 'Anders Danielsen']"
980663,Sing Sing Sing (band),"['Ivan Pedersen', 'Nina Forsberg', 'Alex Nyborg Madsen', 'Sascha Dupont', 'Søren Bomholt Jacobsen']"
139362,Singvogel,"['Andreas Hansen', 'Lotte Maxild', 'Jørgen Holm', 'Emil Brahe', '', 'Rikke Alminde', 'Jens Balder', 'Lenny Davies']"
173764,Sir Henry & His Butlers,['Ole Bredahl']
380730,Skagarack,['Tommy Rasmussen']
140167,Skousen & Ingemann,"['Niels Skousen', 'Peter Ingemann', 'Stig Møller', 'Tømrerclaus', 'Bjørn Uglebjerg']"
737309,Skullclub,"['Troels Bjorholm', 'Jonas Quist', 'Christoffer Skau', 'Andreas Steinmeyer', 'Ali Jablanowsky', 'Simon Møller Andersen', 'Jacob Skov Mikkelsen', 'Niels Bobs', 'Ole Møller', 'Morten Husted', 'Andreas Oxholm', 'Christian Christensen', 'Thomas Ebdrup']"
409947,Small,['Andreas Asingh']
218217,Snuff Pop Inc.,"['Chris Juris', 'Max Funk', 'Red Ochre', 'Kristoffer Høeg, Jesper Staustrup, Steffen Andersen, Sonic']"
86212,Sods,"['Steen Jørgensen', 'Peter Schneidermann', 'Knud Odde', 'Tomas Ortved', 'Morten Versner']"
300637,Sofamania,"['Claus Carlsen', 'Per Frost', 'Jacob Haugaard', 'Kate Svanholm', 'Nold', 'Jacob Perbøll', 'Michael Perbøll', 'Bodil Ove', 'Per Harboe', 'Niels Hahn (2)']"
508423,Speak the King's,"['Asbjørn Hvelplund, Mads Elming, Jonas Andersen, Anders Nygaard']"
344854,Speaker Bite Me,"['Martin Ilja Ryum', 'Kasper Deurell', 'Emil Pilot Landgren', 'Signe Høirup Wille-Jørgensen']"
826625,Spids Nøgenhat (band),"['Lorenzo Woodrose', 'Henrik ”Hobbitten” Klitstrøm', 'Morten ”Aron” Larsen', 'Anders ”Moody Guru” Skjødt', 'Anders ”Fuzz Daddy” Grøn']"
238690,Spillemændene,"['Henning Stærk', 'Lars Hybel', 'Troels Møller', 'Flemming Thorsbro Petersen', 'Jørn Persson', 'Ole Berg', 'Jens Henrik Sandberg', 'Flemming Walsøe Therkelsen', 'Sven Foged', 'Ole Andersen (5)']"
85917,Starfuckers,"['Ole Frø', 'Kim Larsen', 'Thomas Grue', 'Stig Møller', 'Jess Stæhr', 'Ken Gudman']"
405790,Stoffer & Maskinen,"['Stoffer', 'Maskinen']"
151401,Street Beat,['Henrik Carlsen']
