pageid,title
210509,HateSphere
905163,Heidra
785519,Huldre (band)
241082,Illnath
352158,Invisius
432879,Jackal
1137635,Konkhra
1169565,Lamentari
344745,Last Mile
1021757,Lifesick
99883,Memorial
631019,Mercenary
176835,Mnemic
344982,Nembience
343076,Nortt
1005160,ORM (band)
866543,Panzerchrist
551868,Pyramaze
348528,Raunchy
162747,Saturnus (band)
684261,September (hardrockgruppe)
477564,Seven Thorns
436431,Sortsind
85622,Stormslag
387825,Submission
496656,Svartsot
708051,The Interbeing
503037,Vanir
1159624,VOLA
504623,Fede Finn og Funny Boyz
329687,Kim & Hallo
249284,The Antonelli Orchestra
66327,Aqua (band)
359406,Barcode Brothers
89426,Bikstok
850575,Cargo
1008702,Crispy
286085,Cut'N'Move
127339,Daze
405170,Dr. Baker
432271,Hit'n'Hide
60759,Infernal
856210,Little Trees
165728,Me & My
1126701,Sunzet
120696,Toy-Box
912217,AmadeusEnsemblet
912287,Birkerød Kammerorkester
914192,Collegium Musicum (Danmark 1944)
916128,Det danske Ungdomsensemble
916231,Ensemble Felix
914539,Ensemble MidtVest
914613,Esbjerg Ensemble
911519,Århus Sinfonietta
485476,Able Gospel Choir
391720,Akademisk Kor
1005420,Akademisk Kor Århus
360521,Allerød Drengekor
132321,Ars Nova Copenhagen
137948,Copenhagen Gospel Choir
86686,Cæciliaforeningen
362802,Det Ny Kammerkor
249326,DR Koncertkoret
674947,DR Pigekoret
292994,DR VokalEnsemblet
385042,Det Danske Drengekor
1159465,Gospel-kids
273310,Gospelkoret Joyful Voices
148276,Herning Kirkes Drengekor
986798,Holbæk Sangkor
757232,Horne Mandskor af 1845
659352,IKI
704365,Kammerkoret Camerata
929143,Kammerkoret Gock
309022,Kastrup kammerkor
52027,Det Kongelige Danske Musikkonservatoriums Børnekor
184263,Københavns Bachkor
120881,Københavns Drengekor
1149431,Københavns Kammerkor
221811,Københavns Kantatekor
711211,Mellervang Koret
692569,Mogens Dahl Kammerkor
297219,Mosaik (kor)
1151076,Musica Ficta
179315,Oktoberkoret
98725,Roskilde Domkirkes Drengekor
151199,Sankt Annæ Pigekor
341279,Sct. Pauls Cantori
731917,Sokkelund Sangkor
921694,Staka
344734,Studenter-Sangforeningen
979531,Syngedrengene
1113928,Vocal Line
914192,Collegium Musicum (Danmark 1944)
914178,Collegium Musicum (Danmark 1981)
911716,Concerto Copenhagen
165504,Danmarks Underholdningsorkester
40852,DR Symfoniorkestret
736076,Kim Sjøgren and his The Little Mermaid Orchestra
39338,Det Kongelige Kapel
1006278,Lyngby-Taarbæk Symfoniorkester
37360,Odense Symfoniorkester
162784,Sjællands Symfoniorkester
10733,Sønderjyllands Symfoniorkester
369172,Aalborg Symfoniorkester
373862,Aarhus Symfoniorkester
